channel_name,tme_link,tier,status,historical_30_120_ev,reject_ratio_24h,notes
CXOStrategyBot,t.me/CXOStrategyBot,A,ACTIVE,2.5,0.15,Strategy signals
MomentumTrackerCN,t.me/MomentumTrackerCN,A,ACTIVE,2.5,0.15,Primary aggregator
SOLSmartAlert,t.me/SOLSmartAlert,A,ACTIVE,2.3,0.18,SOL smart money alerts
SOLCabalAlertCN,t.me/SOLCabalAlertCN,A,ACTIVE,2.2,0.18,SOL cabal alerts CN
BSCAlphaWallet,t.me/BSCAlphaWallet,B,ACTIVE,1.8,0.22,BSC alpha wallet tracking
BSCEarly_AlertCN,t.me/BSCEarly_AlertCN,B,ACTIVE,1.8,0.22,BSC early alerts CN
Picgemscalls,t.me/Picgemscalls,B,ACTIVE,1.6,0.25,Gem calls
DexscreenerBoostAlerts,t.me/DexscreenerBoostAlerts,B,ACTIVE,1.7,0.23,Dexscreener boost alerts
gem1000xpump,t.me/gem1000xpump,B,ACTIVE,1.5,0.28,1000x gem pump calls
wedegentheyaped,t.me/wedegentheyaped,B,ACTIVE,1.6,0.25,Degen ape calls
Xiao_Trading,t.me/Xiao_Trading,A,ACTIVE,2.0,0.20,Xiao trading signals
nhn0x69420,t.me/nhn0x69420,B,ACTIVE,1.5,0.28,NHN signals
阴谋集团扫货,t.me/conspiracy_sweep,A,ACTIVE,2.5,0.15,SOL conspiracy sweep
Dogee 金狗特训班｜聪明钱信念,t.me/dogee_golddog,A,ACTIVE,2.3,0.18,Gold dog training
狗狗的小聪明·BSC精选版,t.me/smartdog_bsc,B,ACTIVE,1.8,0.22,BSC smart dog
Four.meme 早期提醒,t.me/fourmeme_alert,B,ACTIVE,1.7,0.23,Four.meme alerts
社区监控,t.me/community_monitor,B,ACTIVE,1.6,0.25,Community monitor
DexBoost Alerts,t.me/dexboost_alerts,A,ACTIVE,2.2,0.18,DexBoost signals
